tweet
"🚨#CURTAINCALL2 DROPS 8/5 - HIT THE LINK FOR ALL DETAILS🚨 https://t.co/5aXTeexpah 
#Relapse #Recovery #MMLP2 #Revival #Kamikaze #MTBMB #MTBMBSIDEB https://t.co/3iY15MzqVu"
"Happy birthday, Curtis!  Love, Marshall @50cent https://t.co/D0ItKtye9l"
Actual footage of my flight from #d2thelbc https://t.co/s5Irp5QCEO
RT @ShadyRecords: Happy bday to shady fam @bizarresworld! Check his latest project #hegotagun if you haven’t already
Happy bday @royceda59! What we doin to top this? https://t.co/KCiSHXcirs
#FromTheD2TheLBC @snoopdogg https://t.co/bggiB7IFHd https://t.co/gdk8MbHs0J
"“This probably should have happened a while ago” Behind the scenes #FromTheD2TheLBC video shoot- gallery on the site https://t.co/df5sCbUNwR 

📸: Jeremy Deputat https://t.co/LsaChMLwvx"
RT @ShadyRecords: Listen to #FromTheD2TheLBC now on @spotify’s #RapCaviar - https://t.co/V7nDUfHSLe @eminem @snoopdogg https://t.co/2FGbwQS…
As a father it pisses me off that women have fewer rights 2day than just a few days ago… we r fuckin goin bckwards. Here’s how 2 help in MIchigan. https://t.co/AzYGESOF8j
#FromTheD2TheLBC ✅ lyrics verified on @genius @snoopdogg  https://t.co/2tUyxexL0F
RT @ShadyRecords: “From Detroit all the way to Los Angeles” #RapLife @AppleMusic @eminem @snoopdogg 🌴 #FromTheD2TheLBC https://t.co/1V4wlaV…
"RT @BoredApeYC: Our Snoop x Eminem merch drop is live, shop here: https://t.co/xb4RP577T2 This is a limited-run edition, available for 48 h…"
"RT @ShadyRecords: #NewMusicFriday @Spotify #FromTheD2TheLBC @eminem @snoopdogg 📍Times Square, NY https://t.co/48ccoRtWsv"
The D ➡️✈️ LBC - watch the movie 🍿🎥 @SnoopDogg   @BoredApeYC #curtaincall2  https://t.co/EqoWka9u1i https://t.co/sVlBjYEWwj
Took too long to reconnect with @snoopdogg- you know we had to make a movie! https://t.co/087W2OZJOI #FromTheDToTheLBC #curtaincall2 @BoredApeYC https://t.co/k443JqXHON
"“He used to rock the Jailhouse, and I used to rock The Shelter” 👑 @ElvisMovie hittin’ theaters friday! #TCB⚡️#thekingandi @ceelogreen https://t.co/yKUqoaz3Fs"
#MOREBLACKSUPERHEROES proud to present @WS_Boogie! Album out now on @shadyrecords - https://t.co/SHqRTt9iFM https://t.co/5PKrvERlrK
